"CodeCom";"NomCom";"CodeDep";"AnneeCreationCom";"PopDGF2017";"PopDGF2018";"PopInsee2018";"DF2016";"DF2017";"DF2018";"PF4Taxes2017";"PF4Taxes2018";"RRF2018";"PartDynPop";"MtEcretement"
"01001";"ABERGEMENT-CLEMENCIAT";"01";2014;806;799;785;93068;87481;86994;329272;381485;441537;-487;0
"01002";"ABERGEMENT-DE-VAREY";"01";2014;291;289;242;23525;20494;19334;203045;192276;214813;-129;1031
"01004";"AMBERIEU-EN-BUGEY";"01";2014;14739;14817;14631;1477394;1257813;1222023;15183047;14681028;14967332;7872;43662
"01005";"AMBERIEUX-EN-DOMBES";"01";2014;1668;1663;1652;140765;130268;129136;995126;1013420;1015264;-387;745
"01006";"AMBLEON";"01";2014;128;126;115;9743;8589;8396;64160;62266;110795;-129;64
"01007";"AMBRONAY";"01";2014;2738;2778;2722;227677;202467;195873;2452830;2382751;1871745;3317;9911
"01008";"AMBUTRIX";"01";2014;773;774;765;46207;38048;33794;686758;652365;437723;69;4323
"01009";"ANDERT-ET-CONDON";"01";2014;370;374;351;27705;24711;23513;265872;254971;146829;258;1456
"01010";"ANGLEFORT";"01";2014;1239;1233;1152;95537;71071;57276;1791035;1862078;1334994;-445;13350
"01011";"APREMONT";"01";2014;428;425;401;39652;35822;34429;278329;275370;231183;-193;1200
"01012";"ARANC";"01";2014;379;380;331;36916;32466;30956;278528;276014;331998;64;1574
"01013";"ARANDAS";"01";2014;195;189;156;33005;30432;30045;68941;135391;239761;-387;0
"01014";"ARBENT";"01";2014;3546;3499;3486;79226;0;0;6078862;6122660;5240048;0;0
"01015";"ARBOYS EN BUGEY";"01";2015;716;716;649;68894;69509;69509;514303;501049;412513;0;0
"01016";"ARBIGNY";"01";2014;471;482;458;32658;28771;29032;248516;296514;273357;709;448
"01017";"ARGIS";"01";2014;506;512;447;49785;30260;30648;212601;392114;358727;388;0
"01019";"ARMIX";"01";2014;36;37;24;28194;27558;27594;18614;17930;116049;64;28
"01021";"ARS-SUR-FORMANS";"01";2014;1415;1412;1397;134278;126073;125345;814794;853131;762146;-227;501
"01022";"ARTEMARE";"01";2014;1260;1272;1230;116117;105247;103597;867395;911514;1000501;894;2544
"01023";"ASNIERES-SUR-SAONE";"01";2014;76;74;67;10933;9336;8898;55988;52482;118380;-129;309
